id_producto;proveedor;categoria;nombre;ref_fabricante;ref_proveedor;stock;precio_venta;imagenes;descripcion
31990;2;0;CRG0402F150R;31990;31990;0;0,01200;;CHIP RESISTENCIA PELICULA SMD
31991;2;0;CRG0402F330R;31991;31991;0;0,01200;;CHIP RESISTENCIA PELICULA SMD
31992;2;0;BC4 270R 4W;31992;31992;0;0,71400;;RESISTENCIA BOB.CEME.6,4X6,4X25
31993;2;0;KIT0805JE24 5%;31993;31993;0;558,56000;;KIT RESISTENCIA 0805 E24 170 VALOR X50
31994;2;0;C1210C475K5RACTU;31994;31994;0;0,70400;;CHIP CONDENSADOR CERAMICO MULTICAPA
31995;2;0;C0402C220J5GACTU;31995;31995;0;0,01200;;CHIP CONDENSADOR CERAMICO MULTICAPA
31996;2;0;C0402C102J5RACTU;31996;31996;0;0,02600;;CHIP CONDENSADOR CERAMICO MULTICAPA
31997;2;0;C0402C103J3RACTU;31997;31997;0;0,01600;;CHIP CONDENSADOR CERAMICO MULTICAPA
31998;2;0;C1206C102KDRACTU;31998;31998;0;0,16000;;CHIP CONDENSADOR CERAMICO MULTICAPA
31999;2;0;C0402C120J5GACTU;31999;31999;0;0,04200;;CHIP CONDENSADOR CERAMICO MULTICAPA
32000;2;0;C0402C105K8PACTU;32000;32000;0;0,09676;;CHIP CONDENSADOR CERAMICO MULTICAPA
32001;2;0;U6264BDC07LLG1;32001;32001;0;2,04000;;MEMORIA SRAM 8KX8 DIL2806 ALLIANCE
32002;2;0;5082-2091;32002;32002;0;0,54600;;CONECTOR 5,08 9V MACHO RECTO POLARIZADO
32003;2;0;0965582;32003;32003;0;0,56000;;BRIDA UNION PARA 3040000
32004;2;0;0965566;32004;32004;0;2,69854;;RECAMBIO DESOLDADOR 3040000
32005;2;0;0965240;32005;32005;0;3,00000;;CASQUILLO DESOLDADOR 75W NEGRO
32006;2;0;SN75C188N;32006;32006;0;1,07200;;CIRCUITO INTEGRADO DIL14
32007;2;0;PIC12C508A-04/SM;32007;32007;0;0,92000;;CHIP MICROCONTROL.8B SO8W 5,3X8,2X5 1,27
32008;2;0;U136NE;32008;32008;0;93,40000;;BATERIA PLOMO 12V 36 A/h.197X131X160
32009;2;10301;HCE070;32009;32009;1;7,08400;;CARRETE HILO ESMALTADO 0,7mm 70grs
32010;2;0;CO5874;32010;32010;0;4,81600;;CONECTOR MINICANON 4V MACHO PANEL
32011;2;601;PM-9;32011;32011;0;7,95000;;KIT CEBEK PREVIO MONO COMPRESOR
32012;2;0;S-736/022;32012;32012;0;51,94000;;PEDAL METALICO BURGESS
32013;2;0;FSDM1265RBWDTU-ND;32013;32013;0;5,02000;;CIRCUITO INTEGRADO TO220/6FP
32014;2;0;ANT-PUKDB;32014;32014;0;34,54000;;ANTENA DOBLE BANDA 868Mhz SMA
32015;2;0;VC120603A100DP;32015;32015;0;0,19220;;CHIP VARISTOR 1206 3,3V 0,4J
32017;2;0;TA-125C6;32017;32017;0;4,60000;;BASE TELEFONICA 1T.8V CATEGORIA 6
32018;2;0;GD75232DWG4;32018;32018;0;0,77800;;CHIP CIR.INTEGR.SO20W 7,6X10,65X13 1,27
32019;2;0;0,47uF 250V;32019;32019;0;0,41800;;CONDEN.ELECTRO.RADIAL 105G R.5
32020;2;0;22uF 100V 6,3X11;32020;32020;0;0,02600;;CONDEN.ELECTRO.RADIAL RMU 2KH 105G R.2,5
32021;2;0;FE-121;32021;32021;0;29,18600;;KIT CEBEK FUENTE ALIMENTACION 5V 1A
32022;2;0;C2523F;32022;32022;0;6,50000;;TRANS.ENCAP.JESIVA 6V 1,8VA
32023;2;0;434170052000 5Vdc;32023;32023;0;3,66100;;RELE MI.CI 1 CON.10A R.3,2 30X10,2X15,4
32024;2;0;7MBE25NE120;32024;32024;0;268,40000;;MODULO IGBT 25A 1200V PIM
32025;2;0;VN5R003H-E;32025;32025;0;2,20000;;CHIP CIRCUITO INTEGRADO HPAK
32026;2;0;PP76G;32026;32026;1;7,69200;;CAJA PLASTICO 125X85X55 GRIS
32027;2;0;2SK4075;32027;32027;0;1,00000;;CHIP TRANSISTOR CANAL N
32028;2;0;CMF-RL55A0;32028;32028;0;0,60800;;MULTIFUSIBLE RESETEABLE 0,05A 220V 7,5mM
32029;2;0;IP1717LF;32029;32029;0;12,00000;;CHIP CIRCUITO INTEGRADO
32030;2;0;UC232A;32030;32030;0;29,12000;;ADAPTADOR USB-A MA.A CONEC.DB9 MA.(RS232
32031;2;0;XC6210B282MR;32031;32031;0;0,60000;;CHIP CIR.INTEGR.SOT23/5
32032;2;0;ZCR213/5443-3261;32032;32032;0;1,12000;;ZOCALO 2,54 2X13P P/PLA.HEMBRA RECTA 8,5
32033;2;0;EL-17-21/BHC-AN1P2/3;32033;32033;0;0,49600;;DIODO LED 0805 2,1X1,35 AZUL
32034;2;0;22RIA100;32034;32034;0;22,50000;;THYRISTOR 22A 1000V TO48
32035;2;0;SP3232EUEA-L;32035;32035;0;2,48000;;CHIP CIR.INTEGR.SSOP16 5,6X8,2X6,5 0,65
32036;2;0;MAX3160AEP+;32036;32036;0;27,84000;;CHIP CIR.INTEGR.TSSOP20 4,5X6,6X6,6 0,65
32037;2;0;A196012;32037;32037;0;24,00000;;TRANS.CONV. E-400 S-24,3V 0,5A
32038;2;0;MT2-C93419;32038;32038;0;4,72000;;RELE DPDT 24V 2A 20,2X11X10
32039;2;0;KSC945GTA;32039;32039;0;0,35200;;TRANSISTOR NPN 60V 0,15A TO92
32040;2;0;0,25F 3,3V 6.8X1.8;32040;32040;0;2,12000;;CONDENSADOR SUPERCAP R.5
32041;2;0;NLC453232T-560K-PF;32041;32041;0;0,43000;;CHIP INDUCTOR 1812 56uH 3,2X4,6
32042;2;0;STP6NK60ZFP;32042;32042;0;2,64000;;TRANSISTOR MOSFET CANAL N 600V 6A TO220
32043;2;0;PV8/VF140X240;32043;32043;1;6,32000;;PLACA C.I.VIRGEN 1C FIBRA VIDRIO
32044;2;0;DA-5;32044;32044;0;116,78000;;LUPA DE VISERA OPTIVISOR 2,5X
32045;2;0;DA-10;32045;32045;0;118,00000;;LUPA DE VISERA OPTIVISOR 3,5X
32046;2;0;G2RL2 9Vdc;32046;32046;0;2,04000;;RELE MI.CI 2 CON.8A R.5 29X12,4X25
32047;2;0;MC11.504/UL/28;32047;32047;0;0,74000;;MICRORRUPTOR 27,8X10,3X15,9 PALANCA 28MM
32048;2;0;51319099;32048;32048;0;341,70000;;DESOLDADOR WELLER DSX80
32049;2;0;061000;32049;32049;0;46,06000;;CARRETE HILO ESMALTADO 0,6mm 1Kgrs
32050;2;0;081000;32050;32050;0;46,06000;;CARRETE HILO ESMALTADO 0,8mm 1Kgrs
32051;2;0;101000;32051;32051;0;46,06000;;CARRETE HILO ESMALTADO 1mm 1Kgrs
32052;2;0;PIC10F222I-I/P;32052;32052;0;0,88000;;MICROCONTROLADOR 8 BITS DIL8
32053;2;0;04.114;32053;32053;0;52,00000;;DESOLDADOR CON CHUPON
32054;2;0;04.116;32054;32054;0;11,00000;;PUNTA DESOLDADOR 01.114 1,2mm
32055;2;0;04.117;32055;32055;0;11,00000;;PUNTA DESOLDADOR 01.114 1.5mm
32056;2;0;1N5362B/BZV48/58C28;32056;32056;0;0,16800;;DIODO ZENER 5W 28V DO201
32057;2;0;PIC16F917-I/P;32057;32057;0;20,64596;;MICROCONTROLADOR 8 BITS DIL40
32058;2;0;SP8M3TB;32058;32058;0;1,38400;;CHIP TRANSISTOR CANAL N SOIC8
32059;2;0;ZTB455E;32059;32059;0;1,07200;;RESONADOR CERAMICO 455 Khz 2 PINES
32060;2;0;LQH2MCN100K02L;32060;32060;0;0,19600;;CHIP INDUCTOR 0806 10uH 1,6X2X0,9
32061;2;0;TMS370C756AFNT;32061;32061;0;48,00000;;CHIP MICROCONTROLADOR 8 BITS PLCC68
32062;2;0;VO2223A;32062;32062;0;1,45600;;OPTOACOPLADOR DIL8
32063;2;0;ATTINY45-20PU;32063;32063;5;1,78000;;MICROCONTROLADOR 8 BITS DIL8
32064;2;0;8-1318491-6;32064;32064;0;13,90000;;CONECTOR SMD 0,50 HEMBRA MEZZANINE
32065;2;0;SN74HC1G14DCK;32065;32065;0;1,98000;;CHIP CIR.INTEGR.SC70/5
32066;2;30301;INA118P;32066;32066;0;19,90000;;CIRCUITO INTEGRADO DIL8
32067;2;0;LT1078CN8#PBF;32067;32067;0;9,18000;;CIRCUITO INTEGRADO DIL8
32068;2;0;J177;32068;32068;0;2,00200;;TRANSISTOR FET CANAL N TO92
32069;2;0;CS4271-CZZ;32069;32069;0;6,10000;;CHIP CIR.INTEGR.TSSOP28 4,5X6,6X9,8 0,65
32070;2;0;CS4272-CZZ;32070;32070;0;6,40000;;CHIP CIR.INTEGR.TSSOP28 4,5X6,6X9,8 0,65
32071;2;0;PCM3060PWG4;32071;32071;0;4,80000;;CHIP CIR.INTEGR.TSSOP28 4,5X6,6X9,8 0,65
32072;2;0;TLC320AD77CDBG4;32072;32072;0;6,50000;;CHIP CIR.INTEGR.SSOP28 5,4X7,9X10,3 0,65
32073;2;0;TLV320AIC23BPWG4;32073;32073;0;5,96000;;CHIP CIR.INTEGR.TSSOP28 4,5X6,6X9,8 0,65
32074;2;0;WM8569SEDS;32074;32074;0;5,40000;;CHIP CIR.INTEGR.SSOP28 5,4X7,9X10,3 0,65
32075;2;0;47nF 50V 0603 X7R;32075;32075;0;0,00848;;CHIP CONDENSADOR CERAMICO MULTICAPA
32076;2;0;TDA1558Q;32076;32076;0;4,20000;;CIRCUITO INTEG.AMPLIF.AUDIO 2 CAN.DBSP
32077;2;0;Q6004LT;32077;32077;0;3,00000;;TRIAC 4A 600V Igt 1,2A TO220
32078;2;0;1812CS-332XJLC;32078;32078;0;0,68000;;CHIP INDUCTOR 1812 102KLB
32079;2;0;LP025060-103LD;32079;32079;0;1,58000;;INDUCTOR
32080;2;0;330pF 450V R-7,5;32080;32080;0;0,52800;;CONDENSADOR POLIPROPILENO RADIAL
